CreditScore,Age,Experience,NetWorth,LengthOfCreditHistory,DebtToIncomeRatio,Monthly_LoanToIncomeRatio,RiskScore,LoanApproved
571,36,16,473378,16,0.11035989489533819,0.15039231172599637,36.0,1
549,38,16,17949,24,0.057370436732025035,0.03900609552137678,39.2,1
636,64,43,17515,19,0.035306382485810264,0.04470144976083834,37.6,1
540,42,20,177347,24,0.0905804968388786,0.07081043805249378,36.8,1
582,31,11,147593,13,0.11006321898642346,0.024254806805415117,41.6,1
536,41,19,153253,20,0.023312287518212724,0.14256134432014342,34.4,1
593,45,19,44931,1,0.028263048788796,0.035394245844438156,43.2,1
582,45,24,15672,2,0.01738533112686171,0.04873513389341085,49.6,1
564,41,20,64290,24,0.04940711462450593,0.05059039563718209,42.400000000000006,1
581,28,6,48690,17,0.025026546779627352,0.06642372025528355,37.6,1
602,60,41,11946,16,0.03721520542056458,0.08083548363174614,43.2,1
589,46,24,2656,27,0.028280810576392357,0.11417073313381039,44.0,1
618,41,19,76533,7,0.06940221309676813,0.10873430061864187,40.8,1
591,51,29,3291,3,0.02868478769807043,0.15942911897975365,41.6,1
617,44,23,1645402,21,0.04494959695929197,0.11402751327062496,30.4,1
586,53,31,45805,29,0.09533829131144567,0.19048037126874234,45.6,1
488,42,19,40587,25,0.1433188141070676,0.10965273809408103,44.0,1
624,34,9,282555,3,0.1285169289461135,0.10672461770908769,36.8,1
507,53,29,206862,3,0.029671778295809158,0.17976828174396892,39.2,1
553,33,11,10386,21,0.050884168352975864,0.04277371068012233,44.0,1
551,37,14,6621,2,0.03573028378698848,0.0753574003989833,44.0,1
529,47,23,46013,24,0.023469073751153965,0.012557106268054648,38.400000000000006,1
501,31,8,3722,16,0.03731930376634871,0.04521643863342448,43.2,1
629,65,42,2830,1,0.04799055108320641,0.11483404048550017,41.6,1
595,30,6,206988,7,0.06084889876534735,0.07386327675941444,36.0,1
492,47,27,6975,25,0.015812684115280324,0.059889661287042845,40.8,1
603,41,21,1294,16,0.11521895190236899,0.08155950754358904,40.8,1
605,45,23,23790,5,0.02235088764953808,0.07871922495338417,39.2,1
501,44,24,40983,24,0.034820645524529285,0.056641842872947434,38.400000000000006,1
556,65,40,29062,21,0.024517580819041613,0.06896579130303215,44.0,1
607,54,31,4176,15,0.0361370951045529,0.09204592948751812,40.8,1
626,44,21,40110,29,0.05910743013763928,0.15020863770359966,42.400000000000006,1
528,21,0,126324,8,0.06391081185495888,0.03287865864899413,36.8,1
559,38,18,19357,16,0.10727001263351327,0.061798421295562324,39.2,1
618,57,33,7599,12,0.11282414194004954,0.04656264138572498,42.400000000000006,1
570,28,5,2332,1,0.018296214920603217,0.10338835920687688,44.0,1
609,43,19,48415,11,0.04987142956425047,0.08015086959730078,43.2,1
588,39,15,3948,4,0.03325488448523166,0.12404771455253928,44.8,1
588,37,17,314456,22,0.048147223510110915,0.24261290183774006,36.8,1
596,36,15,7317,5,0.006913953072536906,0.009129258136992963,41.6,1
630,50,27,43979,23,0.05229520262933516,0.07111756333157465,38.400000000000006,1
