Age,CreditScore,LoanDuration,NumberOfDependents,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,BankruptcyHistory,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,RiskScore,DebtToIncomeRatio,ApplicationYear,ApplicationMonth,SavingsAccountBalance_log,TotalLiabilities_log,TotalAssets_log,CheckingAccountBalance_log,MonthlyLoanPayment_log,TotalDebtToIncomeRatio_log,MonthlyIncome_log,LoanAmount_log,MonthlyDebtPayments_log,LoanPurpose_Debt Consolidation,LoanPurpose_Education,LoanPurpose_Home,LoanPurpose_Other,EmploymentStatus_Self-Employed,EmploymentStatus_Unemployed,EducationLevel_Bachelor,EducationLevel_Doctorate,EducationLevel_High School,EducationLevel_Master,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Widowed,HomeOwnershipStatus_Other,HomeOwnershipStatus_Own,HomeOwnershipStatus_Rent,LoanApproved
19,538,72,5,0.2629576096179838,4,1,0,0,26,17,0.9714684614930555,4,3310,0.275668,0.2205344,58.0,0.10688373739161211,2020,5,7.7336835707759,10.626509019547823,8.427706024914702,5.993961427306569,6.61472560020376,-1.262342918991394,8.351905727178062,10.29782430285645,6.115892125483034,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
36,605,96,3,0.3538310495089031,3,0,0,0,17,28,0.8726108252459214,6,22902,0.241358,0.2436891082866138,47.0,0.03415559772296015,2024,5,8.492695559815838,10.291297725405572,10.866222842652885,6.90875477931522,5.3471075307174685,-2.6605025911464733,8.680133698704273,9.089076284483143,5.303304908059076,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
40,616,48,4,0.282432684185447,4,1,0,0,33,23,0.8491453426102449,5,55517,0.199622,0.2165492672229199,50.0,0.1569877477836438,2023,6,7.532088143541722,9.992550989276888,11.256483628254504,9.95394299602462,5.978885764901122,-1.1567806775741152,7.827938425571636,9.443196602144186,5.976350909297934,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
42,556,48,0,0.3876453042201885,2,0,0,0,27,7,0.9118771922193808,4,13842,0.235041,0.2338090823472281,60.0,0.13511476533059266,2024,11,7.824445930877619,9.818038590703646,10.379845947419872,8.255048902752295,6.366470447731438,-1.2220526810853805,8.202139922168325,9.800402224452803,6.20050917404269,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
31,596,12,2,0.3333005360608158,3,1,0,0,21,4,0.865122931759594,5,16623,0.180725,0.1776126761382513,56.0,0.15080113100848255,2024,12,7.540090320145325,9.774005094757891,10.439805469063055,7.062191632286556,7.135687347028144,-0.4706453131335214,7.883257870488138,9.526974266377731,5.991464547107982,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
40,616,72,3,0.5072955295837553,2,1,0,0,27,4,0.8230931793003928,5,68885,0.223703,0.2331588456414037,57.0,0.1635357024558747,2023,6,8.600430789986293,9.102086786535928,11.262654777516593,6.391917113392602,6.068425588244111,-0.8932861114999466,7.473684428974152,9.723343622989947,5.662960480135946,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
30,545,24,3,0.5283973058158471,3,0,0,0,24,16,0.7585253375783463,8,21789,0.220902,0.19206528637294,52.0,0.07932956348399171,2024,3,9.061492275239766,11.657951787020336,11.830622546265108,7.630946580890459,6.834108738813838,-1.1835036003422452,8.317969596546927,9.820214633342307,5.783825182329737,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
52,645,12,1,0.1288415278434882,3,2,0,0,28,19,0.8827840276472272,5,10290,0.153046,0.1753029322071637,36.8,0.06322073680987855,2024,8,7.592366128519796,11.234559859155796,10.99842643583793,8.034306936339489,6.871091294610546,-1.5565440117154972,8.784570510527654,9.263501920090414,6.023447592961033,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1
34,603,48,1,0.2307049606206142,2,0,0,0,20,6,0.9682643448154706,7,8290,0.215754,0.1858812505952022,55.0,0.12693565976008725,2022,9,7.760893195851024,9.748236267264836,10.14305548226448,7.3758821482150125,6.492239835020471,-1.2045660415581783,8.248223827896611,10.010277046717645,6.184148890937483,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
41,588,48,2,0.1016620197952915,2,0,0,0,25,15,0.5282925211226972,9,14346,0.221321,0.2511469883441157,43.2,0.023980713923194046,2019,11,7.86940171257709,9.926813377839625,10.457889773418664,7.76046702921342,6.51471269087253,-2.2105793320850053,8.97225237327615,9.919410113079943,5.241747015059643,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
31,589,48,2,0.3011902663951969,4,1,0,0,23,18,0.9033070350356958,6,481720,0.209887,0.2039503810159108,40.8,0.07457727677247108,2021,1,6.816735880594968,10.494214335496604,13.157394557476206,6.1224928095143865,5.659482215759621,-2.0732842010479486,8.63379033900005,9.147081032336992,6.037870919922137,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
18,527,72,2,0.1172794184914501,4,1,0,0,20,12,0.7060295726938518,7,25414,0.262721,0.2608395921809394,51.0,0.3152,2024,6,6.706862336602747,9.576995349297256,10.59270201006836,7.194436851100335,5.733341276897746,-0.5744497540968639,7.1308988302963465,9.325542301664866,5.976350909297934,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,560,36,1,0.1794411459182059,6,1,0,0,20,22,0.7795143023439866,5,45003,0.234141,0.2659117081524531,55.0,0.18507668447354816,2022,8,8.4071550862073,10.655516660832296,11.37858231438792,6.928537818164665,7.075808863978387,-0.22713310892707228,7.567518015522499,10.279901396250288,5.8805329864007,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
19,560,48,1,0.3524182370424564,2,2,0,0,31,28,0.9910405494148836,5,44787,0.237269,0.2847228,53.0,0.09495962127541074,2021,3,7.671826797878781,8.48673398393153,10.81249180235931,6.666956792429207,6.661854740545311,-1.1622915154221933,8.186185994226083,10.010950855785657,5.831882477283517,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
29,592,36,1,0.2468464781537766,1,0,0,0,28,13,0.7453399156012832,7,9671,0.202587,0.1905706261521216,55.0,0.13748088641394893,2020,10,7.944492163932159,10.841539776191796,9.00810178134187,6.18826412308259,6.210600077024653,-1.2946778903985696,8.202870499128286,9.516868732224324,6.218600119691729,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,594,24,0,0.1793895097788226,3,3,0,0,27,19,0.7545275590256972,1,249087,0.211473,0.2120935977661782,40.8,0.049947831520920395,2019,4,8.637993891561942,8.830835365537549,12.452655341244808,8.277411998949004,7.45182223652793,-1.799740541564812,9.611501788028294,10.41849442269534,6.61472560020376,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
39,463,36,0,0.0925333401941726,1,1,0,0,14,19,0.8513917029079349,3,35563,0.275109,0.2629794974603057,50.0,0.05729047447761682,2019,12,8.270781013162674,10.097161097666307,10.999379477701783,4.7535901911063645,6.773080375655535,-0.9155976813080894,7.843227530272221,9.980865173557472,4.983606621708336,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
46,575,72,1,0.3051176988600561,0,0,0,0,19,8,0.8531624707526488,2,25662,0.251009,0.2404718271541031,55.0,0.08726693121253881,2020,9,6.570882962339584,9.140990293841389,10.462874742916549,8.744169388750624,6.428105272684596,-1.557253642470489,8.521002593090184,10.065138605538023,6.082218910376446,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,569,48,0,0.0801497045559727,1,2,0,0,24,1,0.8435357040075396,5,26960,0.223345,0.2047182568707113,48.8,0.10199787208889939,2021,3,8.56483984488359,9.606091787896707,10.641010405815626,7.213768308118642,5.976350909297934,-1.8457476197389364,8.86066468551006,9.460709909543985,6.577861357721047,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1
34,524,36,3,0.09696122798579,3,1,0,0,22,3,0.597075414247256,6,10438,0.259497,0.2780157307376985,59.0,0.11094324750394113,2022,7,7.004881989712859,10.899069940884694,10.433909900048675,5.056245805348308,7.316548177182976,-0.8973225434365976,8.532016120307876,10.504985344411832,6.333279628139691,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
57,568,60,3,0.3271546165150846,2,1,0,0,25,9,0.8085515572882652,7,82218,0.245182,0.2537007891361324,50.0,0.09044973618826946,2019,3,8.123261319121745,10.330746767679962,11.634071727522182,5.459585514144159,6.5722825426940075,-1.1087109504263404,8.001382942801621,10.093363833734193,5.598421958998375,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
34,622,60,1,0.1189597317372413,5,0,0,1,30,25,0.7570384048302808,5,4964,0.218374,0.2457912850416367,57.0,0.05281132274759709,2023,7,8.226840890408578,10.459984195277682,10.593003146862024,8.124446855715847,6.5638555265321274,-1.0426214062873373,7.769343402585257,10.101272269383447,4.8283137373023015,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
32,550,72,0,0.4344259132561372,4,1,0,0,20,26,0.7874535101696156,5,213900,0.2611139999999999,0.2266512528150285,40.0,0.11202339444381959,2023,3,8.377241230988792,9.670735486942808,12.3447339824613,7.490529402060711,6.2878585601617845,-1.3567873762641836,8.217326070767239,9.95769160654964,6.028278520230698,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
30,475,84,1,0.217989151801155,5,1,0,0,20,3,0.7169602427141577,5,15998,0.299319,0.3153742011882766,56.0,0.12074520240930102,2018,11,6.637258031284457,10.295124152707759,10.727355930819083,6.037870919922137,5.857933154483459,-1.519292220763069,8.180180808942515,9.377463685012241,6.066108090103747,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
27,574,60,1,0.4918501147433844,5,1,0,0,26,10,0.8176910995735417,4,10730,0.28081,0.3064521780633475,49.0,0.02741199859665536,2024,9,6.92951677076365,11.303179266992098,11.133785782029612,7.4377951216719325,7.6290038896529575,-1.514742517847749,9.276947065470164,11.047869575448427,5.680172609017068,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
29,563,48,2,0.1424270789352771,0,1,0,0,19,22,0.8475326789850053,8,35079,0.225262,0.1891098751680993,44.8,0.07564811936586882,2023,10,8.063692634269517,8.88751459738882,10.65301506653218,9.12063445889169,5.860786223465865,-2.055414650809168,8.810173702319227,9.372629275019902,6.2285110035911835,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
50,597,60,3,0.4201980588698983,6,1,0,0,27,21,0.9177087799975152,7,36926,0.225281,0.2147936181838948,56.0,0.03588820167540907,2019,6,7.931284761525891,9.526609901279876,10.832615533211776,5.41610040220442,6.240275845170769,-2.0226051387029154,8.579620109688877,9.840600999480937,5.25227342804663,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
